BC,0,7,14,21,28,35
0,13439.0,702.0,170.0,0.0,0.0,0.0
1,12698.0,809.0,154.0,0.0,0.0,0.0
2,16799.0,713.0,439.0,0.0,156.0,0.0
1500,3581.0,579.0,413.0,0.0,211.0,0.0
4,12833.0,780.0,213.0,0.0,0.0,0.0
5,17980.0,783.0,383.0,0.0,210.0,0.0
15000,5610.0,2990.0,2572.0,388.0,3757.0,407.0
5000,4237.0,2532.0,637.0,0.0,264.0,0.0
10000,5077.0,2216.0,568.0,0.0,327.0,0.0
1000,3558.0,343.0,175.0,0.0,0.0,0.0
10,16960.0,869.0,230.0,0.0,0.0,0.0
11,16440.0,818.0,246.0,0.0,0.0,0.0
500,3987.0,238.0,0.0,0.0,0.0,0.0
13,13905.0,782.0,164.0,0.0,0.0,0.0
14,15732.0,1037.0,169.0,0.0,0.0,0.0
15,16299.0,912.0,206.0,0.0,0.0,0.0
16,15367.0,1002.0,208.0,0.0,0.0,0.0
17,17082.0,735.0,164.0,0.0,0.0,0.0
18,14917.0,993.0,208.0,0.0,0.0,0.0
50000,4507.0,863.0,165.0,0.0,0.0,0.0
40000,1427.0,247.0,0.0,0.0,0.0,0.0
21,14290.0,695.0,190.0,0.0,0.0,0.0
22,15905.0,860.0,187.0,0.0,0.0,0.0
2000,3370.0,626.0,475.0,0.0,279.0,0.0
24,17227.0,765.0,176.0,0.0,0.0,0.0
25,13856.0,865.0,205.0,0.0,0.0,0.0
30000,5122.0,392.0,0.0,0.0,0.0,0.0
27,13012.0,706.0,574.0,0.0,200.0,0.0
28,15562.0,873.0,0.0,0.0,0.0,0.0
